Title,Author,Database
Blockchain-based Node-aware Dynamic Weighting Methods for Improving Federated Learning Performance,"Kim, Y.J., Hong, C.S.","IEEE,Scopus"
FLchain: Federated Learning via MEC-enabled Blockchain Network,"Majeed, U., Hong, C.S.","IEEE,Scopus"
Blockchain and Federated Learning for Privacy-Preserved Data Sharing in Industrial IoT,"Lu, Y., Huang, X., Dai, Y., Maharjan, S., Zhang, Y.","IEEE,Scopus"
Blockchain Empowered Asynchronous Federated Learning for Secure Data Sharing in Internet of Vehicles,"Lu, Y., Huang, X., Zhang, K., Maharjan, S., Zhang, Y.","IEEE,Scopus"
Incentive Mechanism for Reliable Federated Learning: A Joint Optimization Approach to Combining Reputation and Contract Theory,"Kang, J., Xiong, Z., Niyato, D., Xie, S., Zhang, J.","IEEE,Scopus"
Mechanism Design for An Incentive-aware Blockchain-enabled Federated Learning Platform,"Toyoda, K., Zhang, A.N.","IEEE,Scopus"
A Decentralized Federated Learning Approach for Connected Autonomous Vehicles,"Pokhrel, S.R., Choi, J.","IEEE,Scopus"
FLChain: A Blockchain for Auditable Federated Learning with Trust and Incentive,"Bao, X., Su, C., Xiong, Y., Huang, W., Hu, Y.","IEEE,Scopus"
A Blockchain-Powered Decentralized and Secure Computing Paradigm,"Mendis, G.J., Wu, Y., Wei, J., Sabounchi, M., Roche, R.","IEEE,Scopus"
IFLBC: On the Edge Intelligence Using Federated Learning Blockchain Network,"Doku, R., Rawat, D.B.","IEEE,Scopus"
Reliable Federated Learning for Mobile Networks,"Kang, J., Xiong, Z., Niyato, D., Zou, Y., Zhang, Y., Guizani, M.","IEEE,Scopus"
FDC: A Secure Federated Deep Learning Mechanism for Data Collaborations in the Internet of Things,"Yin, B., Yin, H., Wu, Y., Jiang, Z.","IEEE,Scopus"
Ownership Preserving AI Market Places Using Blockchain,N. Baranwal Somy; K. Kannan; V. Arya; S. Hans; A. Singh; P. Lohia; S. Mehta,IEEE
A Hierarchical Blockchain-Enabled Federated Learning Algorithm for Knowledge Sharing in Internet of Vehicles,H. Chai; S. Leng; Y. Chen; K. Zhang,IEEE
Record and Reward Federated Learning Contributions with Blockchain,I. Martinez; S. Francis; A. S. Hafid,IEEE
CREAT: Blockchain-assisted Compression Algorithm of Federated Learning for Content Caching in Edge Computing,L. Cui; X. Su; Z. Ming; Z. Chen; S. Yang; Y. Zhou; W. Xiao,IEEE
Blockchained On-Device Federated Learning,H. Kim; J. Park; M. Bennis; S. Kim,IEEE
Privacy-Preserving Blockchain-Based Federated Learning for IoT Devices,Y. Zhao; J. Zhao; L. Jiang; R. Tan; D. Niyato; Z. Li; L. Lyu; Y. Liu,IEEE
FedBC: Blockchain-based Decentralized Federated Learning,X. Wu; Z. Wang; J. Zhao; Y. Zhang; Y. Wu,IEEE
